White	Black	[:]	Victory	Winner	+/-	ECO	Opening System
1696	1563	70	mate	black	133	A00	Anderssen Opening
1964	1813	38	resign	black	151	A57	Benko Gambit Declined |  Main Line
1725	1457	72	resign	black	268	A56	Benoni Defense
1693	1591	73	resign	black	102	A43	Benoni Defense: Benoni Gambit |  Schlenker Defense
1881	1518	84	resign	black	363	A56	Benoni Defense: Czech Benoni Defense
1631	1531	77	resign	black	100	A02	Bird Opening
1915	1807	66	mate	black	108	A03	Bird Opening: Dutch Variation
1697	1566	70	resign	black	131	C24	Bishop's Opening: Berlin Defense
1629	1517	26	mate	black	112	C20	Bishop's Opening: Boi Variation
1785	1432	50	resign	black	353	C24	Bishop's Opening: Ponziani Gambit
2149	1933	60	resign	black	216	A52	Budapest Defense: Adler Variation
1873	1574	16	mate	black	299	A52	Budapest Defense: Adler Variation
1830	1694	84	resign	black	136	B10	Caro-Kann Defense
1631	1500	44	resign	black	131	B10	Caro-Kann Defense
2262	2111	64	resign	black	151	B19	Caro-Kann Defense: Classical |  Spassky Variation
2105	1929	160	resign	black	176	B13	Caro-Kann Defense: Exchange Variation
1776	1383	82	mate	black	393	B10	Caro-Kann Defense: Masi Variation
1996	1886	144	resign	black	110	B14	Caro-Kann Defense: Panov Attack
1749	1404	18	resign	black	345	C21	Center Game #2
1997	1480	70	mate	black	517	C22	Center Game: Paulsen Attack Variation
1749	1404	72	resign	black	345	C22	Center Game: Paulsen Attack Variation
1807	1687	18	resign	black	120	D05	Colle System
1786	1609	40	resign	black	177	D05	Colle System
1727	1590	36	resign	black	137	C21	Danish Gambit
1839	1632	24	resign	black	207	A80	Dutch Defense
2163	2012	26	resign	black	151	A80	Dutch Defense
1997	1500	54	resign	black	497	A82	Dutch Defense: Staunton Gambit Accepted
1660	1549	119	resign	black	111	A49	East Indian Defense
2066	1937	104	resign	black	129	A49	East Indian Defense
1822	1588	60	mate	black	234	C40	Elephant Gambit
1810	1495	20	resign	black	315	C40	Elephant Gambit: Paulsen Countergambit
2279	1826	52	resign	black	453	A10	English Opening: Anglo-Dutch Defense
1769	1659	74	mate	black	110	A10	English Opening: Great Snake Variation
2058	1798	96	resign	black	260	A28	English Opening: King's English Variation |  Four Knights Variation |  Quiet Line #3
2036	1882	40	mate	black	154	A25	English Opening: King's English Variation |  Reversed Closed Sicilian
1649	1500	64	time	black	149	A30	English Opening: Symmetrical Variation
2044	1867	148	mate	black	177	A34	English Opening: Symmetrical Variation |  Fianchetto Variation
2254	2117	36	time	black	137	A40	Englund Gambit Declined |  Reversed French
1722	1612	96	mate	black	110	C46	Four Knights Game
2139	1557	82	time	black	582	C50	Four Knights Game: Italian Variation
1793	1640	40	resign	black	153	C46	Four Knights Game: Italian Variation
1906	1672	102	resign	black	234	C47	Four Knights Game: Scotch Variation Accepted
1805	1680	42	resign	black	125	C00	French Defense #2
1649	1547	38	resign	black	102	C02	French Defense: Advance Variation #4
2118	1817	84	resign	black	301	C13	French Defense: Classical Variation |  Normal Variation
1874	1774	52	resign	black	100	C01	French Defense: Exchange Variation
2021	1857	66	resign	black	164	C01	French Defense: Exchange Variation
2057	1949	154	resign	black	108	C01	French Defense: Exchange Variation
1802	1691	40	resign	black	111	C00	French Defense: Knight Variation
1696	1527	84	time	black	169	C00	French Defense: Knight Variation
1743	1616	32	resign	black	127	C00	French Defense: Knight Variation
1927	1718	102	mate	black	209	C00	French Defense: Knight Variation
1768	1560	64	mate	black	208	C00	French Defense: La Bourdonnais Variation
1781	1598	46	resign	black	183	C00	French Defense: La Bourdonnais Variation
2267	1500	166	mate	black	767	C12	French Defense: MacCutcheon Variation |  Exchange Variation
1858	1730	49	resign	black	128	C00	French Defense: Normal Variation
1868	1675	94	resign	black	193	C00	French Defense: Normal Variation
1941	1605	54	resign	black	336	C00	French Defense: Normal Variation
1948	1842	50	resign	black	106	C00	French Defense: Reti-Spielmann Attack
1971	1858	156	time	black	113	C10	French Defense: Rubinstein Variation |  Blackburne Defense
1877	1558	50	resign	black	319	C11	French Defense: Steinitz Variation #2
1932	1757	72	mate	black	175	C03	French Defense: Tarrasch Variation
1998	1880	62	resign	black	118	C18	French Defense: Winawer Variation |  Advance Variation #2
1924	1512	14	resign	black	412	C15	French Defense: Winawer Variation |  Winckelmann-Riemer Gambit
2344	2215	50	resign	black	129	C50	Giuoco Piano
1807	1274	12	resign	black	533	A00	Grob Opening: Grob Gambit
1857	1565	84	time	black	292	A40	Horwitz Defense
2278	1800	38	resign	black	478	A40	Horwitz Defense
1726	1582	142	mate	black	144	A40	Horwitz Defense
1754	1263	36	time	black	491	A40	Horwitz Defense
1834	1723	78	time	black	111	A40	Horwitz Defense
1763	1628	32	resign	black	135	A00	Hungarian Opening
1713	1558	114	mate	black	155	A00	Hungarian Opening: Indian Defense
1847	1712	62	resign	black	135	A45	Indian Game
1722	1592	104	mate	black	130	E61	Indian Game: West Indian Defense
1748	1647	60	resign	black	101	C50	Italian Game
1760	1358	22	mate	black	402	C50	Italian Game
1687	1557	74	resign	black	130	C55	Italian Game: Anti-Fried Liver Defense
2232	2081	72	time	black	151	C50	Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation
1813	1602	24	mate	black	211	C50	Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation
1654	1515	82	resign	black	139	C50	Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation
2151	2029	82	resign	black	122	C50	Italian Game: Giuoco Pianissimo |  Normal
1777	1648	38	resign	black	129	C50	Italian Game: Giuoco Pianissimo |  Normal
1901	1629	26	resign	black	272	C50	Italian Game: Giuoco Pianissimo |  Normal
1763	1661	112	mate	black	102	C54	Italian Game: Giuoco Piano |  Greco's Attack
1862	1556	34	mate	black	306	C50	Italian Game: Schilling-Kostic Gambit
1844	1731	76	mate	black	113	C55	Italian Game: Scotch Gambit |  Janowski Defense
1728	1500	14	resign	black	228	C55	Italian Game: Two Knights Defense
1730	1473	38	mate	black	257	C57	Italian Game: Two Knights Defense |  Knight Attack |  Normal Variation
1740	1496	81	resign	black	244	C36	King's Gambit Accepted |  Abbazia Defense
1940	1808	28	resign	black	132	C38	King's Gambit Accepted |  Greco Gambit
1860	1712	10	resign	black	148	C37	King's Gambit Accepted |  King's Knight Gambit
1705	1599	23	resign	black	106	C34	King's Gambit Accepted |  MacLeod Defense
1788	1187	50	resign	black	601	C37	King's Gambit Accepted |  Muzio Gambit |  Sarratt Defense
1910	1714	58	resign	black	196	C39	King's Gambit Accepted: Allgaier |  Schlechter Defense
1861	1757	36	resign	black	104	C30	King's Gambit Declined |  Mafia Defense
1869	1670	62	resign	black	199	A07	King's Indian Attack
2036	1706	50	resign	black	330	A08	King's Indian Attack: French Variation
2036	1706	50	resign	black	330	A08	King's Indian Attack: French Variation
1785	1489	52	mate	black	296	E61	King's Indian Defense
1953	1721	30	resign	black	232	E80	King's Indian Defense: Saemisch Variation
1810	1473	70	mate	black	337	C20	King's Pawn Game
1725	1451	70	time	black	274	C20	King's Pawn Game
1720	1566	108	mate	black	154	C40	King's Pawn Game: McConnell Defense
1742	1576	54	resign	black	166	C40	King's Pawn Game: McConnell Defense
1716	1422	26	mate	black	294	C44	King's Pawn Game: Tayler Opening
1734	1402	90	resign	black	332	A40	Mikenas Defense: Cannstatter Variation
1678	1565	58	resign	black	113	B06	Modern Defense
1829	1707	72	resign	black	122	A40	Modern Defense
1634	1526	44	resign	black	108	A40	Modern Defense
1953	1770	118	resign	black	183	B06	Modern Defense: Mongredien Defense #2
2469	2369	96	time	black	100	B06	Modern Defense: Two Knights Variation |  Suttles Variation
1654	1516	34	resign	black	138	E20	Nimzo-Indian Defense #2
2270	1974	26	resign	black	296	E20	Nimzo-Indian Defense: Ragozin Variation
2218	1990	60	resign	black	228	E20	Nimzo-Indian Defense: Romanishin Variation #2
1649	1510	74	resign	black	139	A01	Nimzo-Larsen Attack: Classical Variation
1655	1526	114	resign	black	129	A01	Nimzo-Larsen Attack: Modern Variation #3
1936	1638	26	resign	black	298	A01	Nimzo-Larsen Attack: Modern Variation #4
2045	1750	62	resign	black	295	B00	Nimzowitsch Defense |  Declined Variation
1954	1850	196	mate	black	104	B00	Nimzowitsch Defense |  Declined Variation
1640	1521	72	time	black	119	A06	Nimzowitsch-Larsen Attack
1973	1856	68	resign	black	117	A41	Old Indian Defense
2313	2168	10	resign	black	145	B00	Owen Defense
1963	1380	22	resign	black	583	B00	Owen Defense
1717	1460	58	resign	black	257	B00	Owen Defense
1711	1456	128	resign	black	255	B00	Owen Defense
1993	1868	16	time	black	125	C41	Philidor Defense
1699	1581	50	mate	black	118	C41	Philidor Defense
1624	1504	86	resign	black	120	C41	Philidor Defense #2
2513	2383	150	resign	black	130	B07	Pirc Defense #4
1746	1479	52	resign	black	267	B07	Pirc Defense #4
1746	1645	32	resign	black	101	D20	Queen's Gambit Accepted
1771	1588	89	resign	black	183	D20	Queen's Gambit Accepted
1769	1396	28	resign	black	373	D20	Queen's Gambit Accepted: Old Variation
1690	1540	134	resign	black	150	D20	Queen's Gambit Accepted: Old Variation
1801	1686	42	resign	black	115	D20	Queen's Gambit Accepted: Old Variation
1862	1358	34	resign	black	504	D20	Queen's Gambit Accepted: Saduleto Variation
2250	2091	82	time	black	159	D30	Queen's Gambit Declined
2144	2001	78	resign	black	143	D30	Queen's Gambit Declined
1903	1744	82	resign	black	159	D55	Queen's Gambit Declined: Modern Variation |  Normal Line
1853	1595	76	resign	black	258	D35	Queen's Gambit Declined: Normal Defense
1795	1578	68	resign	black	217	D31	Queen's Gambit Declined: Queen's Knight Variation
1810	1575	84	resign	black	235	D40	Queen's Gambit Declined: Semi-Tarrasch Defense |  Pillsbury Variation
